,MET
KET,0.1766042390970243
MET,1.0
SUM_RUM_LST_mean,-0.28564682091814647
SUM_RUM_LST_std,0.30099579091260364
SUM_RUM_LST_min_val,-0.3279435438343464
SUM_RUM_LST_max_dif,0.15513491228588816
SUM_RUM_LST_avg_dif,0.1525317781456791
SUM_RUM_LST_std_dif,0.161054014200079
SUM_RUM_LST_day_0,0.09649898719478961
SUM_RUM_LST_day_1,0.13579366249293587
SUM_RUM_LST_day_2,0.1280058980430818
SUM_RUM_LST_day_3,0.10560845409058647
SUM_RUM_LST_day_4,0.08475766718120191
SUM_RUM_LST_day_5,0.08506089569865426
SUM_RUM_LST_day_6,0.08703868850901987
SUM_RUM_LST_day_7,0.08778363238765223
SUM_RUM_LST_day_8,0.06946548856195427
SUM_RUM_LST_day_9,0.06415346183139457
SUM_RUM_LST_day_10,0.05807461397469913
SUM_RUM_LST_day_11,0.06474388143089635
SUM_RUM_LST_day_12,0.0650324503039488
SUM_RUM_LST_day_13,0.05672237173449562
SUM_EAT_LST_mean,-0.25140352991253684
SUM_EAT_LST_std,0.15177150992849098
SUM_EAT_LST_min_val,-0.33980555616545005
SUM_EAT_LST_max_dif,0.08211080205005031
SUM_EAT_LST_avg_dif,0.07663599946493807
SUM_EAT_LST_std_dif,0.07768861926311764
SUM_EAT_LST_day_0,0.05421925679281812
SUM_EAT_LST_day_1,0.04878419234699326
SUM_EAT_LST_day_2,0.03848279048293399
SUM_EAT_LST_day_3,0.027891675031528586
SUM_EAT_LST_day_4,0.018085389543327876
SUM_EAT_LST_day_5,0.00998044162735961
SUM_EAT_LST_day_6,0.01743606418089873
SUM_EAT_LST_day_7,0.013461596137522899
SUM_EAT_LST_day_8,0.020287055042011642
SUM_EAT_LST_day_9,0.02723203164656797
SUM_EAT_LST_day_10,0.028123455005588868
SUM_EAT_LST_day_11,0.023271571407154114
SUM_EAT_LST_day_12,0.02841497335304007
SUM_EAT_LST_day_13,0.019166098132429414
SUM_ACT_LST_mean,-0.2522351794462309
SUM_ACT_LST_std,0.09858713750716126
SUM_ACT_LST_max_val,-0.21118362335210672
SUM_ACT_LST_min_val,-0.3015325986319856
SUM_ACT_LST_day_0,0.10494935069372936
SUM_ACT_LST_day_1,0.0894246573708149
SUM_ACT_LST_day_2,0.07244477303694143
SUM_ACT_LST_day_3,0.04830552073098394
SUM_ACT_LST_day_4,0.05547211312013077
SUM_ACT_LST_day_5,0.05638653512769619
SUM_ACT_LST_day_6,0.054902597756328934
SUM_ACT_LST_day_7,0.041809022115939225
SUM_ACT_LST_day_8,0.031092832846024064
SUM_ACT_LST_day_9,0.02077668611464177
SUM_ACT_LST_day_10,0.02379616879697134
SUM_ACT_LST_day_11,0.029024450423077035
SUM_ACT_LST_day_12,0.037553176838277545
SUM_ACT_LST_day_13,0.03212038440678481
SUM_GEN_RST_LST_mean,0.35877005306946075
SUM_GEN_RST_LST_std,0.38426069464301305
SUM_GEN_RST_LST_max_val,0.39165724345979036
SUM_GEN_RST_LST_min_val,0.22249346175894633
SUM_GEN_RST_LST_max_dif,0.24178046315538448
SUM_GEN_RST_LST_avg_dif,0.25285927947928394
SUM_GEN_RST_LST_std_dif,0.25575220173052116
SUM_GEN_RST_LST_day_0,0.11636653420779322
SUM_GEN_RST_LST_day_1,0.1349131020039395
SUM_GEN_RST_LST_day_2,0.13155029590715583
SUM_GEN_RST_LST_day_3,0.10153777245626956
SUM_GEN_RST_LST_day_4,0.07112618654941605
SUM_GEN_RST_LST_day_5,0.05481820268752702
SUM_GEN_RST_LST_day_6,0.054298788106740964
SUM_GEN_RST_LST_day_7,0.05385694376475252
SUM_GEN_RST_LST_day_8,0.04655232654193737
SUM_GEN_RST_LST_day_9,0.04947702192819421
SUM_GEN_RST_LST_day_10,0.051879369432722804
SUM_GEN_RST_LST_day_11,0.05058279885756976
SUM_GEN_RST_LST_day_12,0.05411823826596655
SUM_GEN_RST_LST_day_13,0.047243141451270815
